,Complaint ID,Date received,Consumer complaint narrative,Year,Month
0,5062971,2022-01-03,"Dear Equifax, XXXX and XXXX I am writing to dispute the following information in my credit report file. 

The information on the XXXX XXXX XXXX XXXX for {$17000.00} was charged off as bad debt and is inaccurately reporting because it was included in my bankruptcy. 

I am requesting that the item be removed immediately as Section 809 of the Fair Debt Collection Practices Act speaks about statute of limitations for tradelines to appear on credit reports. 

Please reinvestigate this matter and delete the disputed item as soon as possible.",2022,1
1,5080284,2022-01-06,"Comenity Bank ( Victoria 's Secret credit card ) sent me a refund check in XX/XX/2021 for {$93.00} which was made out to XXXX XXXX. I didnt notice that my maiden name was on the check, and I tried to deposit it on my mobile device ( mobile deposit ) into my XXXX XXXX account. The check was returned and couldnt be deposited because of the name, and I was charged a {$5.00} fee by my bank for the return of the check. 
After that happened, I contacted Comenity to change my name on my account to XXXX XXXX, my married name. Comenity issued me another check for {$93.00}, and I successfully deposited it. I then noticed that Comenity put that {$93.00} amount back on my account that I owed back to them, saying I deposited two checks. The only way I could correspond about the matter was to mail them documentation, which I did, twice, trying to explain to them that I only successfully deposited one check. They kept sending me back letters saying they needed more proof. One night I got my bank XXXX on the phone and called Comenity customer service to settle the issue. We got a manager from Comenity on the phone, and after over an hour we confirmed that I needed to send them proof that the first deposit didn't go through on XXXX letterhead of some sort. Comenity said I could send this information to them electronically on their messaging system online. I've tried twice to do this but it always fails and says the message can't be sent. So the only way to correspond was to send a letter to a po box they provided on the bottom of their letters which first stated XXXX XXXX XXXX XXXX, Ohio XXXX. The last two letters I've received from them have a different XXXX XXXX XXXX, now XXXX XXXX XXXX. The last letter they sent me says they never received my documentation! 
When I call customer service their hours are inconvenient for me as they're on Eastern time and I'm on Pacific, and by the time I get home from work at XXXX, they are closed. Each interaction with them over the phone takes an hour because they have issued me no case number, so every time I call about the issue I have to explain it to somebody new. It's beyond frustrating and I just want the {$93.00} back that they owe me, plus a late fee of {$29.00} that I was charged for not paying my bill in full when I was in the "" investigation process '' ( which I was told I would not be charged by a customer service rep ), and also I was charged a transaction fee of {$3.00} because of that bill. 
All I want to do is get my money back and then close my account because issues like this shouldn't take 7 months to be handled. Thank you, XXXX XXXX XXXX : I had to remove my savings account information for confidentiality but I've forwarded them all these documents.",2022,1
2,5100975,2022-01-11,ACCOUNT WAS NEVER INCLUDED IN ANY XXXX  XXXX XXXX XXXX The following account is not mine XXXX Account says charge off and that is not correct please investigate or delete file TN XXXX XXXX  THIS ACCOUNT WAS PAID OFF AND SUPPOSED TO BE DELETED XXXX XXXX  LETTER ENCLOSED FOR DETAILS,2022,1
3,5093633,2022-01-11,"This is a complaint regarding Lowes / Synchrony Bank store card. I have been trying to pay off my debts and resolve inaccuracies on my credit report in order to be able to gain meaningful employment and to further my studies in the era of pandemic. I am unable to qualify for low interest student loan until this derogatory is removed. 1. Lowes/Synchrony Bank sold my account to XXXX debt collector. 2. I paid the settlement amount 3. My understanding is that Lowes / Synchrony Bank would remove the derogatory record to reflect that I paid less than the full amount. 4. I have disputed the inaccuracy to Lowes / Synchrony Bank via XXXX- twice. 5. Lowes / Synchrony Bank still has not updated my file. In fact, today, my score went down XXXX point.",2022,1
4,5079319,2022-01-07,"I reviewed my Chex Systems Consumer Report # XXXX and theres fraudulent and unauthorized credit inquiries listed on my consumer report. The following inquiries viewed by others are fraudulent and unauthorized : XXXX XXXXXXXX XXXX XXXXXX/XX/XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX, CXXXX XXXX XXXX XXXX XXXX XXXX account that was closed on XX/XX/XXXX and charged off for {$5200.00} is not my account and its a fraudulent account. I never had a checking account closed with no bank, so I should not have a DDA Closure Payment History on my Chex Systems Consumer Report. I am a victim of identity theft and has a current police report on file with Chex Systems. I been a victim of identity theft for over 25 years. All the credit inquiries and bank account listed is fraudulent and is the result of identity theft.",2022,1
5,5150045,2022-01-26,"On XX/XX/2021 I sent a letter regarding inaccurate and unknown things on my credit report. To this day over 45 days later I have not received a response back. I feel like I'm being taken advantage of and that I'm not being taken seriously. After doing research, Section 611 ( a ) states that failure to investigate these items within 30 days gives a reason to immediately remove those items from my credit report and it has been over 45 days so they should be removed now. The inaccurate information is preventing me from getting approved for the things I need to have and causing me to pay higher than necessary interest rates. My information was also impacted by the XXXX data breach and may have got in the hands of the wrong person. I will file for litigation if I have to. Please resolve the issues with my credit report.",2022,1
6,5149520,2022-01-25,my card was used at a list of places without my authorization i contacted upgrade and they denied my fraud claim after i submitted a police report.,2022,1
7,5137347,2022-01-22,"On XXXX XXXX I called and tried to dispute hard inquiries that were unauthorized on my credit file. I was told by the representative I spoke to that he would be able to remove them. We went through the hard inquiries together and he said they would be removed in 24 hours. The hard inquiries were not removed. 

I called again XX/XX/XXXX I told the rep. what had happened when I called the last time and she said she would be able to help me remove the unauthorized hard inquiries and we went through the process, she said they would be removed in 24 hours and they are still on the credit file. 

Here are the fraudulent hard inquiries : XXXX XXXX Inquired on XX/XX/XXXX XXXX XXXX XXXX  Inquired on XX/XX/XXXX XXXX XXXX XXXX Inquired on XX/XX/XXXX XXXX XXXX Inquired on XX/XX/XXXX XXXX XXXX XXXX XXXX  Inquired on XX/XX/XXXX XXXX Inquired on XX/XX/XXXX XXXX XXXX XXXX Inquired on XX/XX/XXXX XXXX XXXX Inquired on XX/XX/XXXX XXXX XXXX, XXXX XXXX Inquired on XX/XX/XXXX XXXX XXXX XXXX XXXX XXXX Inquired on XX/XX/XXXX XXXX XXXX Inquired on XX/XX/XXXX I have not filed for any credit cards, or car loans in the last 4 years. I believe i am a victim of identity theft as there are several accounts on my credit file that I have disputed already - the disputes are in the dispute process. I filed a police report with the city that I live in and I have attached proof as well as the incident number",2022,1
8,5076252,2022-01-05,"I recently pulled my credit report and noticed an inquiry on my report without my permissible use. According to the FCRA and the FDCPA, it should be removed. However, I have sent in continuous dispute letters obtaining all information needed to remove this inquiry. This inquiry is affecting my chances of establishing a great history with the current company. The name of the inquiry is XXXX XXXX. The inquiry date is XXXX XXXX, 2018. The bureaus reporting is Experian, XXXX, and XXXX. Thank you!",2022,1
9,5153238,2022-01-26,Hello I am having an issue with Equifax XXXX and XXXX. Please note that I have three accounts reporting as negative on my credit report one XXXX XXXXXXXX is reporting as an installment and it is not an installment account please remove this from my credit report immediately. The next two which is XXXX and XXXX XXXX is in clear violation of 15usc 1681e-d. Time and time again I have sent numerous letters and these accounts will blatantly ignore me. The first time they did not notate the account I have been sending letters since XXXX of 2021 they just notated the account about a month ago which is a clear violation of the Fair Credit reporting Act. I ask that these two accounts be removed from my credit report immediately. I will also be filing a complaint with the FTC because this is being ignored with numerous attempts to resolve. The companies have also failed to provide the authorized agreements creating the debt which is required to collect on a debt 15usc 1692f. Therefore if there was no agreement in place between myself and XXXX or XXXX XXXX. That means I have no contractual agreement to pay then an alleged debt.,2022,1
10,5234114,2022-02-17,"Booked a flight XXXX reservation code. Under terms and conditions, it says this ticket is refundable. However, when trying to get a refund/cancel the ticket because of a change in travel plans, chase said that I can only receive a voucher. 

I believe this is deceptive on the part of Chase because a refundable ticket and a travel voucher are not the same, and I wouldn't have booked the ticket if I had known the refund was in the form of a travel voucher. The statement "" this ticket is fully refundable '' reasonably implies that the buyer will get a refund in the original payment method My request is that chase refunds to points used to book this trip back into my account.",2022,2
11,5216191,2022-02-12,ON XX/XX/2022 EXPERIAN DELETED AND INACCURATE FRAUDULENT ACCOUNT. THIS INACCURATE ACCOUNT HAS REAPPEARED ON MY CONSUMER REPORT WITHOUT ME BEING NOTIFIED WITHIN A 5 DAY TIME PERIOD PURSUANT TO 15 USC 1681i ( 5 ) ( B ) ( i ) ( ii ) THIS IS AGAINST THE LAW! I ALSO KNOW ANY TRANSACTION THAT IS HELD BETWEEN MYSELF AND THE PERSON SHALL BE EXCLUDED FROM MY REPORT PURSUANT TO 15 USC 1681a ( 2 ) ( i ) I NEVER GAVE EXPERIAN PERMISSIBLE PURPOSE TO REPORT THIS INFORMATION. IM UPSET BECAUSE THIS IS BRINGING DISHARMONY IN MY HOME AND CAUSING ME TO LOSE OUT ON EMPLOYMENT OPPORTUNITIES WITH MY LOCAL CAR DEALERSHIPS.,2022,2
