eu_maternity_passage,uk_maternity_passage,similarity_score,llm_analysis
". Documentation Requirements: Employers may require documentation, such as medical 
certificates, to verify the pregnancy and the need for maternity leave.  
 
It's essential for employers to familiarize themselves with the specific laws and regulations in their 
country regarding maternity leave and cover to ensure compliance and support for their employees. 
Additionally, consulting with legal experts or human re sources professionals can provide further 
guidance on implementing appropriate maternity cover policies.  ",UK Maternity cover policies  ,0.630534291267395,"Similarities:
Both passages discuss maternity leave policies.
They both mention the need for employers to comply with specific laws and regulations regarding maternity leave.
Both passages suggest seeking guidance from legal experts or human resources professionals.

Contradictions:
Passage 1 focuses on the entitlement to maternity pay, while passage 2 discusses the documentation requirements for verifying the pregnancy and the need for maternity leave.
Passage 1 mentions EU law, while passage 2 discusses UK-specific policies.
The duration of maternity leave differs between the two passages: passage 1 mentions a minimum duration without specifying the exact length, while passage 2 specifies up to 52 weeks in the UK, divided into Ordinary Maternity Leave and Additional Maternity Leave."
" Duration of Maternity Leave: EU law mandates a minimum of 14 weeks of maternity leave. 
Employers must allow at least 2 weeks before childbirth and 4 weeks after. However, many EU 
countries provide longer maternity leave periods. For instance, some count ries offer up to a year or 
more.  "," Duration of Maternity Leave: Eligible employees in the UK are entitled to up to 52 weeks of 
maternity leave. This is divided into two parts: Ordinary Maternity Leave (the first 26 weeks) and 
Additional Maternity Leave (the remaining 26 weeks).  ",0.7846978902816772,"Similarities:
- Both passages discuss maternity leave policies.
- They both mention the duration of maternity leave available to employees.
- Both passages indicate that there are specific regulations or entitlements regarding maternity pay for employees.

Contradictions:
- Passage 1 mentions UK-specific policies, while passage 2 discusses EU-wide regulations.
- The duration of maternity leave differs between the two passages: passage 1 mentions up to 52 weeks in the UK, divided into Ordinary Maternity Leave and Additional Maternity Leave, while passage 2 specifies a minimum of 14 weeks mandated by EU law.
- Passage 1 does not provide details on maternity pay regulations, while passage 2 mentions Statutory Maternity Pay (SMP) available for up to 39 weeks in the UK."
" Maternity Pay: EU legislation does not stipulate a minimum requirement for maternity pay, but it 
requires that pay during maternity leave should be adequate to ensure the health and well -being of 
the mother and her child. Many EU countries provide mater nity pay, often a percentage of the 
employee's salary.  "," Maternity Pay: Eligible employees can receive Statutory Maternity Pay (SMP) for up to 39 weeks. 
SMP is paid at 90% of the employee's average weekly earnings for the first 6 weeks, followed by 
£151.97 per week or 90% of average weekly earnings (whichever  is lower) for the remaining 33 
weeks.  ",0.5803309679031372,"Similarities:
Both passages discuss maternity pay policies.
They both mention the importance of providing adequate pay during maternity leave.
Both passages mention that the pay is a percentage of the employee's salary or earnings.

Contradictions:
Passage 1 discusses UK-specific policies, while passage 2 mentions EU legislation.
The duration of maternity pay differs between the two passages: passage 1 mentions up to 39 weeks of Statutory Maternity Pay (SMP), while passage 2 does not specify a duration.
Passage 1 provides specific details on the amount of SMP paid, while passage 2 does not provide specific details on the percentage of salary paid."
" Job Protection: EU directives require that women on maternity leave must be entitled to return to 
the same job or an equivalent position with the same pay and benefits. Employers cannot terminate 
an employee's contract because of pregnancy or maternity leave.  "," Job Protection: Pregnant employees have the right to return to the same job after Ordinary 
Maternity Leave. If they take Additional Maternity Leave, they are entitled to return to the same job 
unless it is not reasonably practicable, in which case they should be offered a suitable alternative 
role.  ",0.7592740058898926,"Similarities:
- Both passages discuss job protection for pregnant employees.
- Both passages mention the right to return to the same job or an equivalent position.
- Both passages prohibit termination of an employee's contract due to pregnancy or maternity leave.

Contradictions:
- Passage 1 is specific to UK policies, while passage 2 refers to EU directives.
- The duration of maternity leave differs between the two passages: passage 1 does not specify the exact length, while passage 2 mentions up to 52 weeks in the UK.
- Passage 1 mentions a suitable alternative role if the same job is not reasonably practicable, while passage 2 only mentions an equivalent position. 
- Passage 1 does not provide details on maternity pay regulations, while passage 2 mentions Statutory Maternity Pay (SMP) available for up to 39 weeks in the UK."
" Health and Safety: Employers must ensure that pregnant employees and those who have recently 
given birth are not exposed to any risks to their health or safety. This may involve adjusting working 
conditions, such as providing ergonomic equipment or allo wing more frequent breaks.  
 5. Flexible Working Arrangements: Employers may need to consider offering flexible working 
arrangements, such as part -time work or telecommuting, to accommodate the needs of pregnant 
employees or those returning from maternity leave.  "," Health and Safety: Employers must conduct risk assessments to ensure the health and safety of 
pregnant employees and make necessary adjustments to their working conditions if required.  ",0.7528430819511414,"Similarities:
Both passages discuss the need for employers to make adjustments to working conditions for pregnant employees to ensure their health and safety.
Both passages mention the possibility of offering flexible working arrangements to accommodate the needs of pregnant employees or those returning from maternity leave.

Contradictions:
Passage 1 specifically mentions conducting risk assessments, while passage 2 focuses on ensuring that pregnant employees are not exposed to any risks.
Passage 1 does not mention providing ergonomic equipment or allowing more frequent breaks, while passage 2 specifically mentions these as possible adjustments to working conditions.
Passage 1 is more general in its language, while passage 2 provides more specific details on UK-specific policies and entitlements."
" Health and Safety: Employers must ensure that pregnant employees and those who have recently 
given birth are not exposed to any risks to their health or safety. This may involve adjusting working 
conditions, such as providing ergonomic equipment or allo wing more frequent breaks.  
 5. Flexible Working Arrangements: Employers may need to consider offering flexible working 
arrangements, such as part -time work or telecommuting, to accommodate the needs of pregnant 
employees or those returning from maternity leave.  "," Flexible Working Arrangements: Employers must consider requests for flexible working 
arrangements from employees returning from maternity leave, including part -time work or changes 
to working hours.  ",0.7587406635284424,"Similarities:
Both passages discuss the need for flexible working arrangements for employees returning from maternity leave.
Both passages mention the importance of ensuring the health and safety of pregnant employees and those who have recently given birth.

Contradictions:
Passage 1 specifically mentions requests for flexible working arrangements, while passage 2 suggests that employers may need to consider offering such arrangements.
Passage 1 does not mention any specific adjustments that may need to be made to working conditions, while passage 2 suggests that ergonomic equipment or more frequent breaks may be necessary.
Passage 1 does not mention any specific regulations regarding health and safety, while passage 2 suggests that employers must ensure that pregnant employees and those who have recently given birth are not exposed to any risks."
" Breastfeeding Support: Employers should provide facilities and breaks to allow breastfeeding or 
expressing milk upon the return to work. This includes providing a private space and adequate break 
times for expressing milk.  "," Breastfeeding Support: Employers should provide facilities and breaks to allow breastfeeding or 
expressing milk upon the return to work. This includes providing a private space and adequate break 
times for expressing milk.  ",1.0000001192092896,"Similarities:
Both passages discuss the need for employers to provide facilities and breaks for breastfeeding or expressing milk upon the return to work.
Both passages mention the need for a private space for expressing milk.
Both passages mention the need for adequate break times for expressing milk.

Contradictions:
There are no contradictions between passage 1 and passage 2 as they are identical."
" Duration of Maternity Leave: EU law mandates a minimum of 14 weeks of maternity leave. 
Employers must allow at least 2 weeks before childbirth and 4 weeks after. However, many EU 
countries provide longer maternity leave periods. For instance, some count ries offer up to a year or 
more.  "," Parental Leave: In addition to maternity leave, eligible employees may also take shared parental 
leave, allowing parents to share up to 50 weeks of leave and up to 37 weeks of pay.  ",0.6570215225219727,"Similarities:
- Both passages discuss parental/maternity leave policies.
- They both mention that eligible employees are entitled to take leave.
- Both passages indicate that there are regulations or entitlements regarding maternity pay for employees.

Contradictions:
- Passage 1 discusses shared parental leave, while passage 2 only mentions maternity leave.
- The duration of maternity leave differs between the two passages: passage 1 mentions up to 50 weeks of leave, while passage 2 discusses a minimum of 14 weeks with the possibility of longer periods depending on the country.
- Passage 1 mentions pay for parental leave, while passage 2 only mentions maternity pay."
" Non -Discrimination: Employers must not discriminate against employees based on pregnancy or 
maternity leave. This includes decisions regarding hiring, promotion, training, or dismissal.  "," Non -Discrimination: Employers must not discriminate against employees based on pregnancy or 
maternity leave. This includes decisions regarding hiring, promotion, training, or dismissal.  ",1.0,"Similarities:
Both passages discuss non-discrimination policies related to pregnancy and maternity leave.
Both passages mention that employers cannot discriminate against employees based on pregnancy or maternity leave in decisions regarding hiring, promotion, training, or dismissal.

Contradictions:
There are no contradictions between the two passages. Both passages are identical."
". Documentation Requirements: Employers may require documentation, such as medical 
certificates, to verify the pregnancy and the need for maternity leave.  
 
It's essential for employers to familiarize themselves with the specific laws and regulations in their 
country regarding maternity leave and cover to ensure compliance and support for their employees. 
Additionally, consulting with legal experts or human re sources professionals can provide further 
guidance on implementing appropriate maternity cover policies.  "," Communication and Information: Employers should communicate maternity leave policies clearly 
to all employees and provide necessary information and support to those taking maternity leave.  
 10. Documentation Requirements: Employers may require documentation, such as medical 
certificates, to verify the pregnancy and the need for maternity leave.  
 
These policies are based on the statutory entitlements provided under UK law and are subject to 
change, so it's essential for employers to stay updated with the latest regulations and guidelines. 
Additionally, seeking advice from legal experts or human res ources professionals can ensure 
compliance with maternity leave policies in the UK.  ",0.8551130294799805,"Similarities:
Both passages mention that employers may require documentation, such as medical certificates, to verify the pregnancy and the need for maternity leave.
Both passages suggest seeking advice from legal experts or human resources professionals to ensure compliance with maternity leave policies.

Contradictions:
Passage 1 emphasizes the importance of clear communication and providing necessary information and support to employees taking maternity leave, while passage 2 focuses on the need for employers to familiarize themselves with specific laws and regulations in their country.
Passage 1 is specific to UK law and regulations, while passage 2 discusses the need for employers to comply with laws and regulations in their own country.
Passage 1 mentions that maternity leave policies are subject to change, while passage 2 does not address this issue."
