,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Year,Month,Day,DoW
6,2022-12-24,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,"I opened up a account online XXXX weeks ago and deposited {$200.00} in my account. As I awaited my debit card, I went into the branch and withdrew {$100.00}. After receiving my card and activating it, I went into a branch location and deposited a XXXX financial aid refund. The teller advised me that the funds could potentially have a hold and to check my account after midnight to see if a portion of my funds would be released. I did as instructed and the majority of the funds showed available. 



Fast forward to the next morning, which is Friday XX/XX/XXXX and I placed a online XXXX order to pick up a few gifts for my children. A few hours later, I received a call from BMO fraud department. The individual who contacted asked me various questions re why some one like me would choose to open a account at BMO Harris. I was bewildered by the question and asked for elaboration. The individual stated that He was from the fraud unit and was concerned as to how someone who only had {$200.00} to open an account suddenly came into possession of XXXX. 

He then proceeded to tell me he was going to freeze my entire account, not just the check deposit, until he could speak to someone from my school to verify that I am a student, that they issued the check and the he wants to speak with someone at the bank because he believes the check to be fraudulent. 

Again : I am completely bewildered. I asked him a timeline on when this would occur, seeing as we are XXXX days before XXXX. His response was BMO doesnt care about your holiday. They pay me big money to stop people from committing fraud and Im not letting you walk out of a bank with XXXX that isnt yours. 

Now, Im livid. I asked him if he understood how disgusting it was to gloat about his paycheck when he is freezing my account before the holiday. His response was I dont care, Im compensated well, if you dont like it, file a complaint. 

Calls are recorded, so you can verify what was said. I called back to customer service to speak with another agent. This time, I got a female rep who proceeded to tell me that shes not going to even look at my account because I already spoke with someone. I asked to be escalated to a supervisor and she said no. I told her that I would just go to a branch to see if they would call and she told me that Id just be wasting my time because nobody was going to assist me with a complaint about a XXXX XXXX XXXX. 

I drive to the nearest branch anyway and attempt to log in to my account to see if there has been a update. My User Name, E-mail, Password all rejected. I call back to customer service and they tell me that someone went into the system and suspended my online and phone access. I ask why and they say no notes were left. 

This is petty, unprofessional behavior and I want to make sure they are aware of how new customers are treated as I take my business elsewhere. I can understand holding the check as a business practice. But, being childish, demeaning and disrespectful was not necessary.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BMO HARRIS BANK NATIONAL ASSOCIATION,AZ,85301,Servicemember,Consent provided,Web,2022-12-24,Closed with explanation,Yes,,6358144,2022,12,24,5
8,2022-12-20,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Received credit card statement dated XX/XX/22 showing a charge of {$260.00} that I did not recognize. 
I contacted Fidelity Rewards Credit Card on XX/XX/22 about the charge and told them I did charge a sandwich at food truck on that date and cost was {$15.00}. 
The Fidelity representative stated that this was a likely a fraudulent charge and provided a provisional credit of {$260.00} and said they would research. They also canceled card and provided new card number. On XX/XX/22 Fidelity reversed the provisional credit and provided a receipt from a XXXX XXXX XXXX XXXX XXXX in XXXX Ohio XXXX see attached ) showing a 'custom amount ' {$15.00} charge plus another {$250.00} XXXXcustom amount '. I have never been to XXXX XXXX XXXX XXXX and again contested the charge to Fidelity. 
During the week of XX/XX/22, after multiple attempts, I was able to contact the owner of the XXXX XXXX who said he also owned a food truck. I described the problem and he agreed I should not be charged the additional {$250.00}. He requested I contact the credit card company and have them review it again. 
At this point, I again contacted Fidelity, but the dispute department at Fidelity stated that the decision on the matter was final and they refused to further review. 
I have been fraudulently charged {$250.00}. I feel I should be protected by the laws regarding credit card transactions. I have been charged an amount for something I did not purchase and Fidelity is refusing to correct the issue or work with us in an attempt to resolve.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,OH,45377,,Consent provided,Web,2022-12-20,Closed with non-monetary relief,Yes,,6338237,2022,12,20,1
10,2022-12-16,Credit card or prepaid card,Store credit card,Fees or interest,Unexpected increase in interest rate,When signing up with the card they never tell you or gave me terms saying this is this or that. I never even received my card on the mail I was using a copy I was able to download online to use it. I never got statement in the mail and now that I look at the statements I see they even have my address wrong.So a year later with care credit I think I'm almost done paying my card because I make high payments like $ XXXX but always over my min payment. I go into the account to log in and I see I'm being charged XXXX instead of the XXXX dollars I was currently at going down in back at where I started it I would of known this I would of never signed up with this Care Credit company!,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,NY,11421,,Consent provided,Web,2022-12-16,Closed with explanation,Yes,,6329064,2022,12,16,4
15,2022-12-16,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,I reviewed my Consumer Reports and noticed that I had late payments on accounts that I was never late for. Consumer Reporting Agencies have assumed a vital role and have a responsibility to report Consumer information to the best of their ability with Maximum Accuracy. I have never been late on payments for the accounts : XXXX XXXXXXXX XXXX  XXXX .... Balance : {$82.00} ; XXXX XXXX XXXX .... Balance : {$22.00} ; XXXX XXXX XXXX XXXX .... Balance : {$78.00} ; XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX : {$4.00} ; XXXX XXXX XXXX  XXXX XXXX. Balance : {$140000.00} ; XXXX XXXX XXXX XXXX Balance : {$620000.00},Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,93727,,Consent provided,Web,2022-12-16,Closed with explanation,Yes,,6323220,2022,12,16,4
22,2022-12-05,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,"I had a ER visit on XX/XX/2020, at the time i had insurance on Nevada XXXX XXXX, I was later billed for services that normally and should have been fully covered. Per XXXX  ( XXXX XXXX XXXX nevada ) I submitted the correct documentation and Medical ID cards at time of visit. Per XXXX XXXX XXXX submitted the wrong insurance for claim proccessing to XXXX. So since XXXX submitted the wrong insurance XXXX did not pay for the claim. XXXX also informed me they have proof that i submitted the right insuranc card because all of the other claims were subkitted correctky and paid out. XXXX XXXX made a mistake and they are trying to make me cover and pay for their mistake. I have made numrous attempts for them to fix them and they just tell me they will submitt this dispute to someone higher up and no one ever follows up with me. The debt collecgtor on behalf of XXXX XXXX continues to update the credit breuars with increase in amounbt that i owe and Im assuming they are adding intrest to the debt that they claim I owe, I do not owe this debt please resolve it on your end and remove it from my credit report.it is destroying my life and preventing me from purchasing my dream home.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"PlusFour, Inc",NV,89052,,Consent provided,Web,2022-12-29,Closed with explanation,Yes,,6282728,2022,12,5,0
30,2022-12-19,Vehicle loan or lease,Loan,Getting a loan or lease,Fraudulent loan,"On the XXXX day of XXXX, 2022 I signed a contract with XXXX XXXX to purchase a vehicle. I financed the vehicle with {$2000.00} down and 16 % interest. According to information from 15 U.S. Code Section 1662- Advertising of Down payments and installments "" No advertisement to aid, promote, or assist directly or indirectly any extension of consumer credit may state that a specified periodic consumer credit amount can be arranged, unless the creditor usually and customarily arranges credit payments or installments for that period and in that amount. '' I wish to cancel that contract because according to 15 U.S. Code Section 1605 - Determination of Finance charge "" Charges or premiums for insurance, written in connection with any consumer credit any consumer credit transaction, against loss of or damage to property, shall be included in the finance charge unless a clear and specific statement in writing is furnished by the creditor to the person to whom the credit is extended. ''",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Westlake Services, LLC",AZ,85706,,Consent provided,Web,2022-12-19,Closed with explanation,Yes,,6338622,2022,12,19,0
49,2022-12-19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"I have a Citibank Mastercard account XXXX which was opened XX/XX/XXXX, and currently has a XXXX balance owing. However, XXXX is reporting that I had a late payment in XXXX of XXXX. That is not accurate. I have never been late in paying this card. I disputed the inaccurate reporting directly with XXXX and XXXX and both credit reporting agencies have corrected the inaccuracy. However, despite different disputes with XXXX, XXXX has failed to correct this inaccuracy and continues to erroneously reflect a late payment for the month of XX/XX/XXXX in the payment history. It is clear that XXXX and Citibank have failed to conduct a reasonable investigation of my dispute as required under the Fair Credit Reporting Act and the Fair and Accurate Credit Transactions Act, and have subsequently failed to correct the inaccuracy in their reporting of my payment history for this trade line. Being that I have twice attempted to indirectly dispute this through the CRA, without resolution, I now have private right of action to bring litigation against XXXX and Citibank for falsely reporting this inaccurate information ; and I intend to do just that if it not rectified with the assistance of the CFPB.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,75025,,Consent provided,Web,2022-12-19,Closed with explanation,Yes,,6339035,2022,12,19,0
69,2022-10-08,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"I have sent letters to you requesting that you remove inaccurate, incomplete or unverifiable accounts from my credit file. To date you have failed to comply with the requirements of the Fair Credit Reporting Act by ignoring my requests. Be advised that I am considering filing a complaint with the FTC due to your noncompliance with the FCRA. 

I have kept all records of my communications with you, including the letters I have sent, proof of your receipt of the letters, and evidence of your noncompliance. It has been over 45 days since your receipt of my original request to investigate the remove the following accounts, and you have failed to comply with the FCRA. 

In good faith, I ask that you please reinvestigate the following items, and promptly remove inaccurate, incomplete or unverifiable accounts : I ask that you remove the following unauthorized inquiries that remains on my credit report. 

Per the Fair Credit Reporting Act, Section 611 ( a ) ( 6 ), I also request that you provide a description of the procedure used to determine the accuracy and completeness of the information, including the business name and address of any furnisher of information contacted in connection with such information and the telephone number of such furnisher. By law, this information must be provided to me within XXXX business days after the completion of the reinvestigation.I DO NOT CONSENT TO E-OSCAR FOR VERIFICATION.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33028,,Consent provided,Web,2022-10-08,Closed with non-monetary relief,Yes,,6064047,2022,10,8,5
108,2022-12-20,Credit card or prepaid card,Store credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I purchased a indoor security camera from Sams Club online and it was "" defective '' ( did not work, would not connect to WiFi ). So I spoke with a rep and I returned the merchandise via XXXX XXXX as required, and they still have not credited my Sams Club credit card for the amount of {$100.00} as of todays date, XX/XX/2022. ( see attachments ) of chat with a Sams Club representative and other pertinent information regarding the purchase of the merchandise. I provided proof of delivery return ( see attachment ( XXXX ). I want the refund "" Due me ''.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,MS,39428,Older American,Consent provided,Web,2022-12-20,Closed with monetary relief,Yes,,6344037,2022,12,20,1
118,2022-12-20,Credit card or prepaid card,General-purpose prepaid card,Unexpected or other fees,,"I attempted to pay the company that owns my apartment in the amount of {$310.00} on XX/XX/XXXX for fees associated with my living space. On XX/XX/XXXX, the money was re-added to my apartment 's list of charges, along with a Non-Sufficient Funds ( NSF ) fee of {$100.00} added onto it. Checking back later, on XX/XX/XXXX, I found that I now owed {$430.00} as a result of the company not receiving the previous funds, the NSF fee, and late fees. I immediately attempted payment again, only for the same incident to occur again today on XX/XX/XXXX, with another NSF fee applied, resulting in {$530.00} being the money I now owe. On both occasions, I attempted payment with XXXX. 

Panicking, I check my bank statement to find when I sent in the money. I vividly remember having the appropriate funds prior to paying the landowning company on both occasions, and when checking my balance after, I found that the amount of money I sent in was missing from my account. However, I can not find the money listed anywhere on my account. 

I had called the number on the back of my US Bank XXXX XXXX for assistance, and was told by the agent I reached that the transactions never occurred. When I asked where my money went then, the agent avoided answering directly, and suggested I speak with the merchant I paid. I then discussed the problem with my leasing XXXX, who stated that most tenants in the building I live in pay their bills with XXXX, and that no one else had this issue. 

I am now missing {$740.00}, and I can not find when or where they went on USBank 's XXXX XXXX site, or their mobile app. I then checked online and found that earlier this year US Bank was fined {$37.00} XXXX for stealing from their customers, and I fear they've simply found another way to do so, and that I've become a victim.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,TX,75032,Servicemember,Consent provided,Web,2022-12-20,Closed with non-monetary relief,Yes,,6342630,2022,12,20,1
