eu_maternity_passage,uk_maternity_passage,similarity_score
". Documentation Requirements: Employers may require documentation, such as medical 
certificates, to verify the pregnancy and the need for maternity leave.  
 
It's essential for employers to familiarize themselves with the specific laws and regulations in their 
country regarding maternity leave and cover to ensure compliance and support for their employees. 
Additionally, consulting with legal experts or human re sources professionals can provide further 
guidance on implementing appropriate maternity cover policies.  ",UK Maternity cover policies  ,0.630534291267395
" Duration of Maternity Leave: EU law mandates a minimum of 14 weeks of maternity leave. 
Employers must allow at least 2 weeks before childbirth and 4 weeks after. However, many EU 
countries provide longer maternity leave periods. For instance, some count ries offer up to a year or 
more.  "," Duration of Maternity Leave: Eligible employees in the UK are entitled to up to 52 weeks of 
maternity leave. This is divided into two parts: Ordinary Maternity Leave (the first 26 weeks) and 
Additional Maternity Leave (the remaining 26 weeks).  ",0.7846978902816772
" Maternity Pay: EU legislation does not stipulate a minimum requirement for maternity pay, but it 
requires that pay during maternity leave should be adequate to ensure the health and well -being of 
the mother and her child. Many EU countries provide mater nity pay, often a percentage of the 
employee's salary.  "," Maternity Pay: Eligible employees can receive Statutory Maternity Pay (SMP) for up to 39 weeks. 
SMP is paid at 90% of the employee's average weekly earnings for the first 6 weeks, followed by 
£151.97 per week or 90% of average weekly earnings (whichever  is lower) for the remaining 33 
weeks.  ",0.5803309679031372
" Job Protection: EU directives require that women on maternity leave must be entitled to return to 
the same job or an equivalent position with the same pay and benefits. Employers cannot terminate 
an employee's contract because of pregnancy or maternity leave.  "," Job Protection: Pregnant employees have the right to return to the same job after Ordinary 
Maternity Leave. If they take Additional Maternity Leave, they are entitled to return to the same job 
unless it is not reasonably practicable, in which case they should be offered a suitable alternative 
role.  ",0.7592740058898926
" Health and Safety: Employers must ensure that pregnant employees and those who have recently 
given birth are not exposed to any risks to their health or safety. This may involve adjusting working 
conditions, such as providing ergonomic equipment or allo wing more frequent breaks.  
 5. Flexible Working Arrangements: Employers may need to consider offering flexible working 
arrangements, such as part -time work or telecommuting, to accommodate the needs of pregnant 
employees or those returning from maternity leave.  "," Health and Safety: Employers must conduct risk assessments to ensure the health and safety of 
pregnant employees and make necessary adjustments to their working conditions if required.  ",0.7528430819511414
" Health and Safety: Employers must ensure that pregnant employees and those who have recently 
given birth are not exposed to any risks to their health or safety. This may involve adjusting working 
conditions, such as providing ergonomic equipment or allo wing more frequent breaks.  
 5. Flexible Working Arrangements: Employers may need to consider offering flexible working 
arrangements, such as part -time work or telecommuting, to accommodate the needs of pregnant 
employees or those returning from maternity leave.  "," Flexible Working Arrangements: Employers must consider requests for flexible working 
arrangements from employees returning from maternity leave, including part -time work or changes 
to working hours.  ",0.7587406635284424
" Breastfeeding Support: Employers should provide facilities and breaks to allow breastfeeding or 
expressing milk upon the return to work. This includes providing a private space and adequate break 
times for expressing milk.  "," Breastfeeding Support: Employers should provide facilities and breaks to allow breastfeeding or 
expressing milk upon the return to work. This includes providing a private space and adequate break 
times for expressing milk.  ",1.0000001192092896
" Duration of Maternity Leave: EU law mandates a minimum of 14 weeks of maternity leave. 
Employers must allow at least 2 weeks before childbirth and 4 weeks after. However, many EU 
countries provide longer maternity leave periods. For instance, some count ries offer up to a year or 
more.  "," Parental Leave: In addition to maternity leave, eligible employees may also take shared parental 
leave, allowing parents to share up to 50 weeks of leave and up to 37 weeks of pay.  ",0.6570215225219727
" Non -Discrimination: Employers must not discriminate against employees based on pregnancy or 
maternity leave. This includes decisions regarding hiring, promotion, training, or dismissal.  "," Non -Discrimination: Employers must not discriminate against employees based on pregnancy or 
maternity leave. This includes decisions regarding hiring, promotion, training, or dismissal.  ",1.0
". Documentation Requirements: Employers may require documentation, such as medical 
certificates, to verify the pregnancy and the need for maternity leave.  
 
It's essential for employers to familiarize themselves with the specific laws and regulations in their 
country regarding maternity leave and cover to ensure compliance and support for their employees. 
Additionally, consulting with legal experts or human re sources professionals can provide further 
guidance on implementing appropriate maternity cover policies.  "," Communication and Information: Employers should communicate maternity leave policies clearly 
to all employees and provide necessary information and support to those taking maternity leave.  
 10. Documentation Requirements: Employers may require documentation, such as medical 
certificates, to verify the pregnancy and the need for maternity leave.  
 
These policies are based on the statutory entitlements provided under UK law and are subject to 
change, so it's essential for employers to stay updated with the latest regulations and guidelines. 
Additionally, seeking advice from legal experts or human res ources professionals can ensure 
compliance with maternity leave policies in the UK.  ",0.8551130294799805
