_id,article,classification.isIncident,gpt-3.5-turbo-0301_classification
5e822e120dc171d3c93e78ef,"Spain's Interior Ministry says police have arrested a Spaniard convicted in Morocco of raping 11 children who was briefly pardoned by Morocco's king.\n\nA ministry spokesman says Daniel Galvan Vina was arrested Monday in the southeastern city of Murcia and will be brought before the National Court in Madrid. He gave no other details.\n\nEarlier, a Spanish official said Galvan was on a list of 30 Spanish prisoners in Morocco that Madrid had asked to be transferred to Spain, but that Morocco included him among a total of 48 Spanish prisoners pardoned and freed in late July.\n\nThe officials spoke on condition of anonymity because government regulations do not allow them to speak on the record.\n\nAfter protests, Morocco's King Mohammed VI on Sunday rescinded his pardon.",Incident,incident
5e8227610dc171d3c93e7449,"NEW DELHI (Thomson Reuters Foundation) - Women and children who have survived deadly floods in India could now be at risk of being sold as brides or into domestic and sex work by traffickers preying on vulnerable families, aid agencies say.\n\nSoldiers rescue stranded people after heavy rains in Uttarakhand June 18, 2013. REUTERS/Stringer/Files\n\nThe floods and landslides, triggered by heavier than normal monsoon rains more than two weeks ago, have killed more than 580 people in Uttarakhand, a popular Hindu pilgrimage destination. At least 3,000 people remain missing.\n\nAid workers and government officials, struggling to negotiate roads blocked by landslides to get to remote mountain villages, say tens of thousands of people have been hit by the disaster.\n\nIn the worst-hit districts of Rudraprayag, Chamoli and Uttarkashi, homes, crops and livestock have been washed away by the deluge and hundreds of roads, bridges and buildings are in need of reconstruction.\n\n“People have lost everything. Their homes and livelihoods have been ruined. Many people who were earning incomes from the religious tourism industry such as in the hotels, shops, restaurants and as porters, will have no jobs now,” Debrabrat Patra, Action Aid’s regional manager, told the Thomson Reuters Foundation by phone from Badrinath, part of the disaster zone.\n\n“Trafficking of young girls happens here due to poverty, and families are often coerced into accepting money from traffickers who marry their daughters to older men in other states, rather than pay a large dowry for them. After the floods, this is likely to worsen as people are poorer and more desperate.”\n\nSouth Asia, with India at its centre, is the fastest-growing and second-largest region for human trafficking in the world, after East Asia, according to the United Nations Office for Drugs and Crime (UNODC).\n\nOver 150,000 people are known to be trafficked within South Asia every year, but the trade is conducted underground and the real number is likely to be much higher.\n\nThousands of young girls are trafficked in India alone, including many from Nepal and Bangladesh, and sold into forced marriage, bonded work as a prostitute or as a maid or paid for their organs.\n\nSave the Children India said that children - both boys and girls - were most at risk.\n\n“In these kinds of emergencies, children are the most vulnerable and trafficking is a serious issue. Children can easily be exploited in the hopelessness, poverty and chaos that follow a disaster,” said Save the Children’s Devendra Tak, adding that it was essential to create “child-friendly spaces”.\n\n“Their homes are destroyed, their schools are either damaged or being used as relief camps. They have nowhere to go. They need to be in a safe, protected environment.”",Incident,Article
5e8229ad0dc171d3c93e75bb,"The Eastern Corridor of the Northern Region, particularly areas around Zabzugu and Tatale, is fast becoming a transit point for human trafficking activities.\nAccording to statistics made available by the Domestic Violence and Victims Support Unit (DOVVSU) of the Ghana Police Service, 18 people aged between four and 19 were trafficked to neighbouring countries such as Mali, Togo and Nigeria by a syndicate operating in the area in 2012 alone.\nIn 2010, two cases were recorded in the Walewale area.\nHowever, due to intensive surveillance being mounted by the police and other stakeholders, it appears the activities of the group are being frustrated.\nCommunities along the Eastern Corridor  include Saboba, Chereponi, Yendi, Gushiegu, Salaga and Nanumba South and North districts.\nThe DOVVSU, with support from the Department of Social Welfare and Recfam, a local non-governmental organisation, has been able to reintegrate 30 children who were previously trafficked along the Zabzugu/Tatale area into their respective families and communities.\nAs a result of the intensive surveillance to stem the tide, two suspects who were allegedly involved in human trafficking at Tatale under the pretext of offering their victims jobs in Nigeria were arrested by the Northern Regional Police Command on June 19, 2013.\nIssah Yakubu, 26, and Abdul Karim Habib, 29, were said to have so far trafficked 18 Ghanaians, mainly children, to Nigeria.\nTheir modus operandi is to persuade their victims into believing that when they are sent to Nigeria they will be offered jobs which could enable them to buy motorbikes within a relatively short time.\nThe Regional Crime Officer, Superintendent of Police Alhaji Arhin Mahama, told The Mirror in Tamale that the police, upon a tip-off, mounted surveillance on the suspects.\nHe explained that Yakubu and Habib, in their latest operation, had completed arrangements and succeeded in trafficking three Ghanaians to Nigeria before they were arrested by the police.\nThe names of two of the victims were given as Seidu Yahaya and one Osman but the name of the third victim is yet to be known.\nThe officer said when Yakubu and Habib were questioned, they admitted committing the offence and added that they had an accomplice called Annan who traffics the victims  to Nigeria.\nYakubu and Habib, according to Alhaji Mahama, gave the phone number of the accomplice to the police who in turn called the number and spoke to the victims.\nThey (the victims) allegedly lamented about the deplorable situation they found themselves in Nigeria.\nThe Mirror also gathered that in recent times human trafficking in Tatale is increasing partly because the area is close to the Togo border.\nThe United Nations Children?s Fund (UNICEF) and the International Labour Organisation (ILO) estimate that between 200,000 and 300,000 children are trafficked each year for forced labour and sexual exploitation in West and Central Africa.\nIt has been observed that the figures might be higher, since there is no reliable data due to various reasons such as the underground and illegal nature of human trafficking, the lack of anti-trafficking legislation in some African countries and the reluctance of the victims to report their experiences to the authorities.\nAccording to the Regional Coordinator of DOVVSU, Assistant Superintendent of Police (ASP) Emmanuel Holortu, parental neglect, inability of parents to control their children, poverty and broken homes are some of the major causes of human trafficking along the corridor.\nHe said most of the victims, who were mainly children, fell prey to those engaged in that criminal act partly because their parents were divorced and had entered into new relationships, hence they were exposed as there was no care for them.\nHe further revealed that in the case of a particular four-year-old boy who was trafficked to Mali, his own father gave him out to the traffickers.\nThe DOVVSU Regional Coordinator once again observed that these victims, particularly the girls, suffer from all forms of abuse, including the fact that some of them are used as sex slaves or for prostitution while their male counterparts are engaged in menial jobs.\nASP Holortu was of the view that there must be effective monitoring and surveillance to clamp down on the activities of the syndicate, noting that a lot of activities had been put in place in collaboration with non-governmental organisations to nip the practice in the bud.\nSource: The Mirror",Incident,Article
5e822b540dc171d3c93e767b,"FBI: Operation Rescues 105 Sexually Exploited Children\n\nDuring a 72-hour operation that spanned 76 cities in the United States, the FBI says, agents rescued 105 sexually exploited children and apprehended 150 alleged pimps.\n\nFox News reports that most of the children rescued during ""Operation Cross Country VII"" ranged in age from 13 to 17; the youngest victim was 9.\n\n""Child prostitution remains a persistent threat to children across America,"" Ron Hosko, assistant director of the FBI's Criminal Investigative Division, said in a statement. ""This operation serves as a reminder that these abhorrent crimes can happen anywhere, and the FBI remains committed to stopping this cycle of victimization and holding the criminals who profit from this exploitation accountable.""\n\nThe FBI says that operations of this kind have so far saved 2,700 children and resulted in 1,350 convictions.\n\nCBS News adds:\n\n""The FBI says that most children who are vulnerable to such exploitation have a 'void in their lives,' be it from family, poverty, and other circumstances. Too often, pimps and other abusive figures step in to fill it, leaving the victims thinking they have no other choice.""\n\nThe FBI put together this video showing how the operations worked:",Incident,Incident
5e822bf70dc171d3c93e777b,"A massive FBI operation targeting pimps engaging in child sex trafficking rescued more than 100 children and led to the arrest of 150.\n\n""Operation Cross-Country 7"" took place over 72 hours and spanned 76 U.S. cities, starting Friday. The suspected pimps will face a range of state and federal charges.\n\nChild sex trafficking is ""one of the most prevalent, violent and unconscionable crimes in our country,"" said Ronald Hosko, assistant director of the FBI's criminal division, at a Monday press conference.\n\nMost of the rescued victims, Hosko said, ranged from 13 to 16, but the youngest was just 9. Many were ""children with a void"" he said: either runaways or foster home children with whom pimps can encourage a relationship of dependency.\n\n""This operation targeted venues where girls and adults are operated for commercial sex,"" such as street tracks, truck stops, casinos and hotels, he explained.\n\nEvery FBI field office, along with the assistance of 230 agencies nationwide, teamed up for the three-day sting.\n\nThe operation was part of the FBI's ""Innocence Lost"" initiative, which is says has resulted in the recovery of 2,700 children over the last decade.",Incident,Incident
5e8231be0dc171d3c93e7ae8,"Spanish officials say 75 people have been arrested in a joint operation with French police against a people trafficking ring.\n The Spanish Ministry of the Interior said Saturday that 51 people were arrested in Spain and another 24 in France in June, and that among those detained were two organizers of the Barcelona-based network. All of the suspects are Asian.\n Authorities say the traffickers charged between $53,000 and $66,000 to supply Chinese citizens with false identities and paperwork, and transport them to the United States and several European countries. Police say the investigation of the complex operation took two years.\n Details of the investigation and arrests have only just now been released.",Incident,Incident
5e8222f70dc171d3c93e717c,"This story is from April 5, 2013\n\nINDORE: Twenty\n\nworking on hand driven carts were rescued and two people bringing children from Uttar Pradesh to work on daily wages were arrested from criminal Munna Pahalwan's den in Vinoba Nagar here yesterday, the police said today.\n\nDownload The Times of India News App for Latest City News\n\nSubscribe Start Your Daily Mornings with Times of India Newspaper! Order Now\n\nAll children hailing from different parts of Uttar Pradesh below the age of 14 were sent to the Bal Surksha Awas, investigating officer R L Katiza said.The accused who hailed from Bahraich district in UP were booked under Sections 23 and 26 of the Kishore Nyay Adhiniyam and Sections 370 and 371 of the Indian Penal Code, he said.The police also organised an educational class for rescued children before sending them to a relief centre, he said.",Incident,incident
5e82308f0dc171d3c93e7a49,"Spanish and French police say they have dismantled a human trafficking ring that smuggled Chinese migrants into Europe and the United States.\n\nFifty-one suspects were arrested in Spain and 24 in France after a two-year joint investigation, a police statement said on Saturday.\n\nPolice said the main operatives were based in Barcelona.\n\nThey said traffickers charged €40,000 to €50,000 for each person to provide false identities and transport Chinese citizens to the US and countries such as Spain, France, Greece, Italy, the United Kingdom, Ireland and Turkey.\n\nIn some cases the ring was involved in the sexual exploitation of migrants, the statement said.\n\nSpanish police seized 81 fake passports from Asian countries such as Taiwan, South Korea, Malaysia, Japan, Hong Kong and Singapore.\n\nThe investigation into the ring began in July 2011. Police said the kingpin was in China and independent cells operated in different countries.",Incident,Incident
5e822b540dc171d3c93e766f,"Federal agents recovered 105 juveniles involved in prostitution and arrested 150 adults allegedly acting as pimps during a three-day nationwide crackdown against child sex trafficking and sexual exploitation of children, the FBI announced on Monday.\n\nArrests were made in 76 cities in a massive operation by the Federal Bureau of Investigation in concert with 230 local, state, and federal law enforcement agencies, as well as the National Center for Missing and Exploited Children.\n\nThe enforcement action marked the seventh version of Operation Cross Country designed to identify and free children forced into the sex industry.\n\n“Child prostitution remains a persistent threat to children across America,” Ron Hosko, assistant director of the FBI’s Criminal Investigative Division, said in a statement.\n\n“This operation serves as a reminder that these abhorrent crimes can happen anywhere,” he said.\n\nSince 2003, the FBI and other partners of the task force have recovered 2,700 juveniles from the streets and won 1,350 convictions for those seeking to profit from the sexual exploitation of children.\n\n""Many victims of child sex trafficking believe there is nowhere to turn for help,"" said Alex, who was rescued five years ago, then 16, in an earlier FBI crackdown.\n\n“At first it was terrifying, and then you just kind of become numb to it,” she said, in an interview posted on the FBI website. “You put on a whole different attitude – like a different person. It wasn’t me. I know that. Nothing about it was me.”\n\n“Operation Cross Country demonstrates just how many of America’s children are being sold for sex every day, many on the Internet,” said John Ryan, chief executive officer of the National Center for Missing and Exploited Children.\n\nFederal statistics show the most active operation in San Francisco where 12 juveniles were found and 17 alleged pimps arrested. Detroit was the next most active with 10 children found and 18 pimps charged.\n\nIn Milwaukee, agents found 10 juveniles but arrested no pimps, according to the statistics.\n\nIn New Orleans, six juveniles were located and six pimps were arrested.\n\nThe crackdown focused on areas such as truck stops, casinos, street “tracks,” and websites that advertise dating and escort services.\n\nThere are 13 separate federal crimes outlawing the sexual exploitation of children. They include selling or buy of children, sexual trafficking of children by force, fraud, or coercion, and the creation of obscene visual representations of the sexual abuse of children.",Incident,Incident
5e8224680dc171d3c93e724a,"Ghaziabad: A human trafficking racket involved in selling girls for flesh trade in Delhi and NCR areas was on Friday busted in Indirapuram area with the arrest of five people, including the woman kingpin.\n\nOn an information that a trafficking racket is being run from a rented house at Khora Colony in Indirapuram area, police sent a decoy customer, who finalised a deal to purchase a girl and gave Rs 10,000 as advance, SSP Nitin Tiwari said.\n\nAs soon as the deal was made, a police team reached the spot and arrested the gang`s kingpin, Babli, and four others - Mintu, Dablu, Rajkumar and Mohd Samim - involved in the racket. Police also rescued two girls.\n\nThe gang used to bring girls from railway stations and others areas on the pretext of giving them jobs and then supply them to prostitute rackets.\n\nPTI",Incident,Incident
